antecedent,consequent,antecedent_n,consequent_n,both_n,support_pct,confidence,lift
Big Data + Python,Reporting,84,299,44,6.19,0.524,1.246
Data Warehouse,Python,147,334,86,12.1,0.585,1.245
Oracle + SQL,Python,67,334,39,5.49,0.582,1.239
Data Analysis + Data Quality,Python,55,334,32,4.5,0.582,1.239
Data Pipeline + ETL,Reporting,48,299,25,3.52,0.521,1.239
NLP,English,52,276,25,3.52,0.481,1.239
Kafka,English,52,276,25,3.52,0.481,1.239
Excel + Reporting,SQL,81,369,52,7.31,0.642,1.237
English + Git,SQL,39,369,25,3.52,0.641,1.235
Data Engineering + ETL,Reporting,52,299,27,3.8,0.519,1.235
Data Analysis + Power BI,Python,140,334,81,11.39,0.579,1.232
AI + LLM,English,90,276,43,6.05,0.478,1.231
English + Reporting,SQL,94,369,60,8.44,0.638,1.23
Data Quality,Python,123,334,71,9.99,0.577,1.229
Data Governance,SQL,77,369,49,6.89,0.636,1.226
Big Data,Reporting,130,299,67,9.42,0.515,1.226
Python + Reporting,Machine Learning,125,232,50,7.03,0.4,1.226
LLM + Python,English,95,276,45,6.33,0.474,1.22
Kubernetes,English,55,276,26,3.66,0.473,1.218
Machine Learning + PyTorch,English,53,276,25,3.52,0.472,1.215
Reporting,SQL,299,369,188,26.44,0.629,1.212
Reporting + SQL,Python,188,334,107,15.05,0.569,1.212
Big Data + Machine Learning,Data Analysis,66,320,36,5.06,0.545,1.212
SQL,Reporting,369,299,188,26.44,0.509,1.212
LLM + Machine Learning,English,85,276,40,5.63,0.471,1.212
AWS + English,SQL,56,369,35,4.92,0.625,1.204
Data Analysis + Data Governance,SQL,40,369,25,3.52,0.625,1.204
AWS + SQL,English,75,276,35,4.92,0.467,1.202
PyTorch + Python,English,60,276,28,3.94,0.467,1.202
LLM,English,118,276,55,7.74,0.466,1.201
Data Modeling + Data Warehouse,Python,55,334,31,4.36,0.564,1.2
Machine Learning + SQL,English,114,276,53,7.45,0.465,1.198
Azure,English,97,276,45,6.33,0.464,1.195
Big Data + SQL,Data Analysis,95,320,51,7.17,0.537,1.193
Data Quality + Reporting,Data Analysis,71,320,38,5.34,0.535,1.189
Data Analysis + Machine Learning,Reporting,84,299,42,5.91,0.5,1.189
Big Data + Machine Learning,Reporting,66,299,33,4.64,0.5,1.189
Azure + GCP,English,63,276,29,4.08,0.46,1.186
AWS,SQL,122,369,75,10.55,0.615,1.185
ETL + Reporting,Data Analysis,75,320,40,5.63,0.533,1.185
AI + Machine Learning,English,113,276,52,7.31,0.46,1.185
Python + SQL,Data Analysis,220,320,117,16.46,0.532,1.182
AWS,English,122,276,56,7.88,0.459,1.182
PyTorch,English,61,276,28,3.94,0.459,1.182
Reporting + Tableau,Python,83,334,46,6.47,0.554,1.18
Deep Learning + Python,English,59,276,27,3.8,0.458,1.179
Python + Tableau,Machine Learning,65,232,25,3.52,0.385,1.179
Data Warehouse + Python,Machine Learning,86,232,33,4.64,0.384,1.176
Python + TensorFlow,English,57,276,26,3.66,0.456,1.175
Data Engineering + SQL,Reporting,71,299,35,4.92,0.493,1.172
AWS + Python,English,88,276,40,5.63,0.455,1.171
English + SQL,Machine Learning,139,232,53,7.45,0.381,1.169
Azure + Python,English,64,276,29,4.08,0.453,1.167
Machine Learning + Python,English,168,276,76,10.69,0.452,1.165
Data Warehouse + Reporting,Data Analysis,86,320,45,6.33,0.523,1.163
Data Visualization + SQL,Machine Learning,66,232,25,3.52,0.379,1.161
Data Warehouse + SQL,Data Analysis,121,320,63,8.86,0.521,1.157
Python + SQL,Reporting,220,299,107,15.05,0.486,1.157
Data Pipeline + SQL,Reporting,74,299,36,5.06,0.486,1.157
Big Data + ETL,English,58,276,26,3.66,0.448,1.155
PyTorch + TensorFlow,English,58,276,26,3.66,0.448,1.155
Data Governance,Data Analysis,77,320,40,5.63,0.519,1.154
SQL + SQL Server,Data Analysis,52,320,27,3.8,0.519,1.154
Data Lake + ETL,Python,48,334,26,3.66,0.542,1.153
Git,SQL,77,369,46,6.47,0.597,1.151
Git + Python,SQL,62,369,37,5.2,0.597,1.15
Machine Learning + SQL,Data Analysis,114,320,59,8.3,0.518,1.15
Azure + SQL,English,56,276,25,3.52,0.446,1.15
AWS + GCP,English,74,276,33,4.64,0.446,1.149
AWS + Azure,English,72,276,32,4.5,0.444,1.145
ETL + Python,English,86,276,38,5.34,0.442,1.138
Data Warehouse + Python,Data Analysis,86,320,44,6.19,0.512,1.137
Data Lake + Data Warehouse,Python,60,334,32,4.5,0.533,1.135
TensorFlow,English,59,276,26,3.66,0.441,1.135
Data Governance + SQL,Data Analysis,49,320,25,3.52,0.51,1.134
Data Modeling + Reporting,Data Analysis,53,320,27,3.8,0.509,1.132
SQL Server,Data Analysis,63,320,32,4.5,0.508,1.129
Oracle + Reporting,Python,51,334,27,3.8,0.529,1.127
Power BI + Reporting,Python,140,334,74,10.41,0.529,1.125
Data Quality + SQL,Machine Learning,90,232,33,4.64,0.367,1.124
Data Quality + Reporting,Machine Learning,71,232,26,3.66,0.366,1.122
GCP,English,83,276,36,5.06,0.434,1.117
GCP + Python,English,67,276,29,4.08,0.433,1.115
Data Analysis,SQL,320,369,185,26.02,0.578,1.114
GCP,SQL,83,369,48,6.75,0.578,1.114
SQL,Data Analysis,369,320,185,26.02,0.501,1.114
Azure,SQL,97,369,56,7.88,0.577,1.112
Big Data + Python,Data Analysis,84,320,42,5.91,0.5,1.111
Data Quality + Data Warehouse,Data Analysis,58,320,29,4.08,0.5,1.111
English + Reporting,Python,94,334,49,6.89,0.521,1.11
Data Analysis + English,SQL,108,369,62,8.72,0.574,1.106
Oracle,Machine Learning,86,232,31,4.36,0.36,1.105
Data Analysis + Excel,SQL,89,369,51,7.17,0.573,1.104
Power BI + Statistics,Machine Learning,75,232,27,3.8,0.36,1.103
Power BI,Python,197,334,102,14.35,0.518,1.102
Machine Learning + Python,SQL,168,369,96,13.5,0.571,1.101
Python + SQL,English,220,276,94,13.22,0.427,1.101
